Tag Code,Site Name,Detection Time,Antenna Group Name
3DD.003BC95F8A,Collection Point 1,4/4/19 7:28,WorkroomTable Antenna
3DD.003BC95F8B,Collection Point 1,4/26/19 7:44,WorkroomTable Antenna
3DD.003BC95F8D,Collection Point 1,4/14/19 7:46,WorkroomTable Antenna
3DD.003BC95F8E,Collection Point 1,4/11/19 13:23,WorkroomTable Antenna
3DD.003BC95F9B,Collection Point 1,4/13/19 7:22,WorkroomTable Antenna
3DD.003BC95F9E,Collection Point 1,4/26/19 7:46,WorkroomTable Antenna
3DD.003BC95FA4,Collection Point 1,4/16/19 7:10,WorkroomTable Antenna
3DD.003BC95FB8,Collection Point 1,4/13/19 7:18,WorkroomTable Antenna
3DD.003BC95FBD,Collection Point 1,4/11/19 12:51,WorkroomTable Antenna
3DD.003BC95FC3,Collection Point 1,4/12/19 7:54,WorkroomTable Antenna
3DD.003BC95FC6,Final Collection Point ,4/22/19 0:29,Sorting Rack Antenna
3DD.003BC95FC7,Final Collection Point ,6/24/19 13:09,Sorting Rack Antenna
3DD.003BC95FCB,Collection Point 3,5/31/19 22:58,MATRIX TRAWL [CURRENT]
3DD.003BC95FCD,Collection Point 1,5/12/19 7:22,WorkroomTable Antenna
3DD.003BC95FCE,Collection Point 1,4/22/19 7:25,WorkroomTable Antenna
3DD.003BC95FD2,Collection Point 1,4/12/19 7:54,WorkroomTable Antenna
3DD.003BC95FD3,Collection Point 1,4/12/19 7:54,WorkroomTable Antenna
3DD.003BC95FD6,Collection Point 1,3/29/19 7:20,WorkroomTable Antenna
3DD.003BC95FDC,Final Collection Point ,5/7/19 8:08,Sorting Rack Antenna
3DD.003BC95FDE,Collection Point 1,4/11/19 13:30,WorkroomTable Antenna
3DD.003BC95FE0,Collection Point 1,4/12/19 8:02,WorkroomTable Antenna
3DD.003BC95FE0,Final Collection Point ,7/20/19 15:02,Sorting Rack Antenna
3DD.003BC95FE2,Collection Point 1,4/12/19 7:31,WorkroomTable Antenna
3DD.003BC95FE7,Collection Point 1,5/11/19 6:57,WorkroomTable Antenna
3DD.003BC95FEA,Final Collection Point ,6/19/19 8:06,Sorting Rack Antenna
3DD.003BC95FEB,Final Collection Point ,5/14/19 2:35,Sorting Rack Antenna
3DD.003BC95FEC,Collection Point 1,6/1/19 7:19,WorkroomTable Antenna
3DD.003BC963A9,Final Collection Point ,5/9/19 23:31,Sorting Rack Antenna
3DD.003BC963BB,Final Collection Point ,5/12/19 1:00,Sorting Rack Antenna
3DD.003BC96E06,Final Collection Point ,5/27/19 6:20,Sorting Rack Antenna
3DD.003BC96E0D,Final Collection Point ,5/17/19 4:40,Sorting Rack Antenna
3DD.003BC96E37,Final Collection Point ,5/12/19 0:52,Sorting Rack Antenna
3DD.003C011568,Collection Point 1,4/9/19 7:56,WorkroomTable Antenna
3DD.003C011568,Final Collection Point ,5/6/19 2:39,Sorting Rack Antenna
3DD.003C01156C,Collection Point 1,4/11/19 13:14,WorkroomTable Antenna
3DD.003C01156E,Collection Point 1,4/14/19 7:30,WorkroomTable Antenna
3DD.003C01157F,Collection Point 1,4/13/19 7:36,WorkroomTable Antenna
3DD.003C01159C,Collection Point 1,4/27/19 7:07,WorkroomTable Antenna
3DD.003C01159D,Collection Point 1,4/13/19 7:35,WorkroomTable Antenna
3DD.003C0115A3,Collection Point 1,4/11/19 12:59,WorkroomTable Antenna
3DD.003C0115AC,Collection Point 1,4/4/19 7:29,WorkroomTable Antenna
3DD.003C0115AE,Collection Point 1,5/14/19 7:41,WorkroomTable Antenna
3DD.003C0115B7,Collection Point 1,4/9/19 7:44,WorkroomTable Antenna
3DD.003C0115BE,Collection Point 1,4/5/19 7:39,WorkroomTable Antenna
3DD.003C011771,Collection Point 1,5/28/19 7:40,WorkroomTable Antenna
3DD.003C01177E,Collection Point 1,6/2/19 7:16,WorkroomTable Antenna
3DD.003C011796,Collection Point 1,5/28/19 7:42,WorkroomTable Antenna
3DD.003D2784CE,Collection Point 1,4/27/19 7:29,WorkroomTable Antenna
3DD.003D27859C,Collection Point 1,4/28/19 6:58,WorkroomTable Antenna
3DD.003D2785FA,Collection Point 1,4/29/19 7:16,WorkroomTable Antenna
3DD.003D278638,Collection Point 1,5/13/19 7:37,WorkroomTable Antenna
3DD.003D2786D9,Collection Point 1,4/21/19 7:14,WorkroomTable Antenna
3DD.003D278709,Final Collection Point ,4/22/19 22:46,Sorting Rack Antenna
3DD.003D278775,Final Collection Point ,6/20/19 8:13,Sorting Rack Antenna
3DD.003D27886A,Final Collection Point ,4/21/19 1:24,Sorting Rack Antenna
3DD.003D278931,Final Collection Point ,5/7/19 0:33,Sorting Rack Antenna
3DD.003D2789F5,Collection Point 1,5/5/19 7:45,WorkroomTable Antenna
3DD.003D2789F5,Final Collection Point ,4/29/19 20:13,Sorting Rack Antenna
3DD.003D278A19,Final Collection Point ,5/17/19 0:58,Sorting Rack Antenna
3DD.003D278C07,Final Collection Point ,5/13/19 0:35,Sorting Rack Antenna
3DD.003D278D09,Final Collection Point ,7/5/19 5:42,Sorting Rack Antenna
3DD.003D278D94,Final Collection Point ,7/9/19 8:31,Sorting Rack Antenna
3DD.003D278FE4,Collection Point 1,4/27/19 7:06,WorkroomTable Antenna
3DD.003D279057,Final Collection Point ,5/8/19 17:48,Sorting Rack Antenna
3DD.003D27916A,Final Collection Point ,4/29/19 23:59,Sorting Rack Antenna
3DD.003D2792A1,Final Collection Point ,4/20/19 17:04,Sorting Rack Antenna
3DD.003D279456,Collection Point 1,4/23/19 7:25,WorkroomTable Antenna
3DD.003D279499,Final Collection Point ,5/18/19 22:18,Sorting Rack Antenna
3DD.003D2794C5,Collection Point 1,5/9/19 7:28,WorkroomTable Antenna
3DD.003D2794D5,Collection Point 1,5/5/19 7:38,WorkroomTable Antenna
3DD.003D279561,Collection Point 1,5/3/19 7:13,WorkroomTable Antenna
3DD.003D2798BE,Final Collection Point ,5/1/19 20:03,Sorting Rack Antenna
3DD.003D2798DE,Final Collection Point ,5/3/19 2:49,Sorting Rack Antenna
3DD.003D2798E3,Collection Point 1,5/15/19 7:27,WorkroomTable Antenna
3DD.003D279C52,Collection Point 1,4/19/19 8:13,WorkroomTable Antenna
3DD.003D279CCB,Final Collection Point ,4/20/19 23:41,Sorting Rack Antenna
