Tag Code,Acoustic Tag,Release Date,Species Name
3DD.003BC95F8A,,3/25/2019,Steelhead
3DD.003BC95F8B,,3/26/2019,Steelhead
3DD.003BC95F8D,,3/8/2019,Steelhead
3DD.003BC95F8E,,3/8/2019,Steelhead
3DD.003BC95F90,,4/3/2019,Steelhead
3DD.003BC95F92,,3/29/2019,Steelhead
3DD.003BC95F93,,4/3/2019,Steelhead
3DD.003BC95F94,,4/3/2019,Steelhead
3DD.003BC95F95,,3/28/2019,Steelhead
3DD.003BC95F96,,3/28/2019,Steelhead
3DD.003BC95F97,,4/2/2019,Steelhead
3DD.003BC95F99,,3/31/2019,Steelhead
3DD.003BC95F9A,,3/8/2019,Steelhead
3DD.003BC95F9B,,4/1/2019,Steelhead
3DD.003BC95F9D,,3/28/2019,Steelhead
3DD.003BC95F9E,,4/1/2019,Steelhead
3DD.003BC95F9F,,4/2/2019,Steelhead
3DD.003BC95FA2,,3/29/2019,Steelhead
3DD.003BC95FA3,,3/28/2019,Steelhead
3DD.003BC95FA4,,3/26/2019,Steelhead
3DD.003BC95FA5,,3/31/2019,Steelhead
3DD.003BC95FA6,,3/27/2019,Steelhead
3DD.003BC95FA8,,3/31/2019,Steelhead
3DD.003BC95FA9,,3/31/2019,Steelhead
3DD.003BC95FAA,,4/1/2019,Steelhead
3DD.003BC95FAC,,3/29/2019,Steelhead
3DD.003BC95FAF,,3/29/2019,Steelhead
3DD.003BC95FB0,,4/3/2019,Steelhead
3DD.003BC95FB1,,4/1/2019,Steelhead
3DD.003BC95FB2,,3/28/2019,Steelhead
3DD.003BC95FB4,,3/31/2019,Steelhead
3DD.003BC95FB5,,4/3/2019,Steelhead
3DD.003BC95FB6,,4/2/2019,Steelhead
3DD.003BC95FB8,,3/26/2019,Steelhead
3DD.003BC95FB9,,4/3/2019,Steelhead
3DD.003BC95FBA,,3/28/2019,Steelhead
3DD.003BC95FBB,,3/30/2019,Steelhead
3DD.003BC95FBD,,3/25/2019,Steelhead
3DD.003BC95FBE,,3/31/2019,Steelhead
3DD.003BC95FBF,,3/27/2019,Steelhead
3DD.003BC95FC1,,3/28/2019,Steelhead
3DD.003BC95FC2,,3/25/2019,Steelhead
3DD.003BC95FC3,,4/2/2019,Steelhead
3DD.003BC95FC4,,3/30/2019,Steelhead
3DD.003BC95FC5,,4/2/2019,Steelhead
3DD.003BC95FC6,,3/27/2019,Steelhead
3DD.003BC95FC7,,3/28/2019,Steelhead
3DD.003BC95FC8,,3/30/2019,Steelhead
